pixel_index channel old_value new_value difference
4489 0 0 107 107
4491 0 0 106 106
4493 0 0 105 105
4495 0 0 104 104
4497 0 0 104 104
4499 0 0 98 98
4501 0 0 96 96
4503 0 0 99 99
4505 0 0 94 94
4507 0 0 88 88
4509 0 0 83 83
4511 0 0 84 84
4513 0 0 87 87
4515 0 0 84 84
4517 0 0 80 80
4519 0 0 79 79
4521 0 0 81 81
4523 0 0 80 80
4525 0 0 78 78
4527 0 0 76 76
4529 0 0 73 73
4531 0 0 71 71
4533 0 0 68 68
4535 0 0 70 70
4537 0 0 68 68
4539 0 0 66 66
4541 0 0 70 70
4543 0 0 68 68
4545 0 0 67 67
4547 0 0 69 69
4549 0 0 65 65
4551 0 0 66 66
4553 0 0 64 64
4555 0 0 63 63
4557 0 0 62 62
4559 0 0 60 60
4561 0 0 64 64
4563 0 0 59 59
4565 0 0 56 56
4567 0 0 62 62
4569 0 0 58 58
4571 0 0 55 55
4573 0 0 56 56
4575 0 0 55 55
4577 0 0 56 56
4579 0 0 60 60
4581 0 0 60 60
4583 0 0 57 57
4585 0 0 55 55
4587 0 0 53 53
4589 0 0 54 54
4591 0 0 56 56
4593 0 0 57 57
4595 0 0 53 53
4597 0 0 52 52
4599 0 0 57 57
4601 0 0 56 56
4603 0 0 55 55
4605 0 0 55 55
4607 0 0 55 55
4609 0 0 56 56
4611 0 0 57 57
4613 0 0 59 59
4615 0 0 61 61
4617 0 0 64 64
4619 0 0 65 65
4621 0 0 63 63
4623 0 0 58 58
4625 0 0 59 59
4627 0 0 61 61
4629 0 0 63 63
4631 0 0 63 63
4633 0 0 65 65
4635 0 0 72 72
4637 0 0 76 76
4639 0 0 75 75
4641 0 0 76 76
4643 0 0 79 79
4645 0 0 79 79
4647 0 0 84 84
4649 0 0 88 88
4651 0 0 85 85
4653 0 0 86 86
4655 0 0 92 92
4657 0 0 97 97
4659 0 0 95 95
4661 0 0 96 96
4663 0 0 100 100
4665 0 0 106 106
4667 0 0 105 105
4669 0 0 100 100
4671 0 0 97 97
4673 0 0 97 97
4675 0 0 94 94
4677 0 0 93 93
4679 0 0 95 95
4681 0 0 92 92
4683 0 0 86 86
4685 0 0 83 83
4687 0 0 83 83
4689 0 0 80 80
4691 0 0 78 78
4693 0 0 81 81
4695 0 0 79 79
4697 0 0 80 80
4699 0 0 84 84
4701 0 0 85 85
4703 0 0 87 87
4705 0 0 80 80
4707 0 0 80 80
4709 0 0 84 84
4711 0 0 86 86
4713 0 0 90 90
4715 0 0 88 88
4717 0 0 90 90
4719 0 0 96 96
4721 0 0 98 98
4723 0 0 95 95
4725 0 0 96 96
4727 0 0 101 101
4729 0 0 103 103
4731 0 0 108 108
4733 0 0 118 118
4735 0 0 124 124
4737 0 0 100 100
4741 0 0 128 128
4745 0 0 144 144
4809 0 0 125 125
4813 0 0 156 156
4815 0 0 155 155
4817 0 0 126 126
4819 0 0 98 98
4821 0 0 98 98
4823 0 0 81 81
4825 0 0 96 96
4827 0 0 83 83
4829 0 0 84 84
4831 0 0 71 71
4833 0 0 87 87
4835 0 0 68 68
4837 0 0 75 75
4839 0 0 65 65
4841 0 0 76 76
4843 0 0 64 64
4845 0 0 74 74
4847 0 0 65 65
4849 0 0 77 77
4851 0 0 65 65
4853 0 0 78 78
4855 0 0 69 69
4857 0 0 79 79
4859 0 0 66 66
4861 0 0 72 72
4863 0 0 63 63
4865 0 0 90 90
4867 0 0 74 74
4869 0 0 84 84
4871 0 0 74 74
4873 0 0 82 82
4875 0 0 73 73
4877 0 0 91 91
4879 0 0 44 44
4881 0 0 46 46
4883 0 0 46 46
4885 0 0 50 50
4887 0 0 49 49
4889 0 0 47 47
4891 0 0 46 46
4893 0 0 49 49
4895 0 0 53 53
4897 0 0 59 59
4899 0 0 57 57
4901 0 0 56 56
4903 0 0 59 59
4905 0 0 55 55
4907 0 0 60 60
4909 0 0 69 69
4911 0 0 67 67
4913 0 0 57 57
4915 0 0 58 58
4917 0 0 64 64
4919 0 0 66 66
4921 0 0 64 64
4923 0 0 66 66
4925 0 0 72 72
4927 0 0 68 68
4933 0 0 90 90
4937 0 0 92 92
4945 0 0 91 91
4949 0 0 80 80
4953 0 0 93 93
4957 0 0 82 82
4961 0 0 93 93
4965 0 0 91 91
4969 0 0 104 104
4973 0 0 85 85
4977 0 0 93 93
4981 0 0 94 94
4985 0 0 97 97
4989 0 0 84 84
4993 0 0 95 95
4997 0 0 105 105
5001 0 0 101 101
5005 0 0 107 107
5009 0 0 109 109
5013 0 0 120 120
5017 0 0 125 125
5021 0 0 61 61
5117 0 0 84 84
5121 0 0 77 77
5125 0 0 120 120
5127 0 0 120 120
5129 0 0 117 117
5131 0 0 114 114
5133 0 0 112 112
5135 0 0 111 111
5137 0 0 110 110
5139 0 0 104 104
5141 0 0 114 114
5143 0 0 120 120
5145 0 0 112 112
5147 0 0 75 75
5149 0 0 67 67
5151 0 0 67 67
5153 0 0 80 80
5155 0 0 82 82
5157 0 0 78 78
5159 0 0 78 78
5161 0 0 74 74
5163 0 0 74 74
5165 0 0 55 55
5167 0 0 53 53
5169 0 0 81 81
5171 0 0 88 88
5173 0 0 58 58
5175 0 0 54 54
5177 0 0 77 77
5179 0 0 82 82
5181 0 0 89 89
5183 0 0 87 87
5185 0 0 85 85
5187 0 0 87 87
5189 0 0 54 54
5191 0 0 52 52
5193 0 0 55 55
5195 0 0 62 62
5197 0 0 65 65
5199 0 0 63 63
5201 0 0 68 68
5203 0 0 67 67
5205 0 0 70 70
5207 0 0 80 80
5209 0 0 86 86
5211 0 0 82 82
5213 0 0 71 71
5215 0 0 70 70
5217 0 0 78 78
5219 0 0 84 84
5221 0 0 89 89
5223 0 0 93 93
5225 0 0 73 73
5227 0 0 63 63
5229 0 0 84 84
5231 0 0 97 97
5233 0 0 101 101
5235 0 0 99 99
5237 0 0 74 74
5239 0 0 78 78
5241 0 0 68 68
5243 0 0 68 68
5245 0 0 72 72
5247 0 0 44 44
5249 0 0 43 43
5251 0 0 41 41
5253 0 0 39 39
5255 0 0 38 38
5257 0 0 56 56
5259 0 0 62 62
5261 0 0 65 65
5263 0 0 66 66
5265 0 0 52 52
5267 0 0 52 52
5269 0 0 61 61
5271 0 0 63 63
5273 0 0 67 67
5275 0 0 75 75
5277 0 0 69 69
5279 0 0 74 74
5281 0 0 91 91
5283 0 0 95 95
5285 0 0 96 96
5287 0 0 100 100
5289 0 0 100 100
5291 0 0 97 97
5293 0 0 101 101
5295 0 0 108 108
5297 0 0 114 114
5299 0 0 110 110
5301 0 0 99 99
5303 0 0 113 113
5305 0 0 127 127
5307 0 0 129 129
5309 0 0 108 108
5311 0 0 98 98
5313 0 0 116 116
5315 0 0 118 118
5317 0 0 91 91
5319 0 0 96 96
5321 0 0 89 89
5323 0 0 85 85
5325 0 0 97 97
5327 0 0 102 102
5329 0 0 85 85
5331 0 0 87 87
5333 0 0 98 98
5335 0 0 99 99
5337 0 0 95 95
5339 0 0 97 97
5341 0 0 112 112
5343 0 0 106 106
5345 0 0 105 105
5347 0 0 77 77
5349 0 0 77 77
5351 0 0 111 111
5353 0 0 106 106
5355 0 0 82 82
5357 0 0 93 93
5359 0 0 91 91
5361 0 0 90 90
5363 0 0 96 96
5365 0 0 79 79
5367 0 0 81 81
5369 0 0 94 94
5371 0 0 97 97
5373 0 0 120 120
5375 0 0 129 129
5377 0 0 105 105
5379 0 0 98 98
5381 0 0 121 121
5383 0 0 115 115
5385 0 0 145 145
5387 0 0 112 112
5389 0 0 99 99
5391 0 0 103 103
5393 0 0 107 107
5395 0 0 116 116
5397 0 0 104 104
5399 0 0 96 96
5401 0 0 113 113
5403 0 0 121 121
5405 0 0 126 126
5407 0 0 128 128
5409 0 0 99 99
5411 0 0 99 99
5413 0 0 125 125
5415 0 0 129 129
5417 0 0 100 100
5419 0 0 92 92
5421 0 0 80 80
5423 0 0 93 93
5425 0 0 97 97
5427 0 0 95 95
5429 0 0 98 98
5433 0 0 123 123
5435 0 0 120 120
5437 0 0 103 103
